"CP_Not_Sure",921,1962
"design",122,0.48
"G_Pilot_True",23,20
"G_Pilot_False",41,586
"G_Not_Sure",2936,6394
"CP_Pilot_True",1351,1853
"CP_Pilot_False",675,3165
"CP_Not_Sure",974,1982
"design",132,0.48
"G_Pilot_True",99,78
"G_Pilot_False",50,651
"G_Not_Sure",3491,5631
"CP_Pilot_True",1568,1395
"CP_Pilot_False",888,3294
"CP_Not_Sure",1184,1671
"design",162,0.48
